Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,329,8,2,0,0,0,1,0,0,0,1.16957,R
0,382,8,2,0,0,0,1,0,0,0,1.16974,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.17,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.17026,R
0,587,8,1,0,0,0,2,0,0,0,1.17051,R
0,370,8,2,0,0,0,1,0,0,0,1.17077,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.17102,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.17128,R
0,0000017D,8,11,D1,F4,1,0,0,0,0,1.17606,R
0,0000017F,8,75,D1,F4,1,0,0,0,0,1.17632,R
0,316,8,2,0,0,0,1,0,0,0,1.17947,R
0,329,8,2,0,0,0,1,0,0,0,1.17973,R
0,382,8,2,0,0,0,1,0,0,0,1.17998,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.18016,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.18041,R
0,587,8,1,0,0,0,2,0,0,0,1.18067,R
0,120,4,F0,55,0,0,0,0,,,1.1834,R
0,316,8,2,0,0,0,1,0,0,0,1.1886,R
0,329,8,2,0,0,0,1,0,0,0,1.18886,R
0,382,8,2,0,0,0,1,0,0,0,1.18912,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.18937,R
0,184,8,55,D2,F4,1,0,0,0,0,1.18963,R
0,000001C7,8,29,D1,F4,1,0,0,0,0,1.18988,R
0,000001CD,8,8D,D1,F4,1,0,0,0,0,1.19005,R
0,1E9,8,F1,D1,F4,1,0,0,0,0,1.19031,R
0,334,8,B9,D2,F4,1,0,0,0,0,1.19057,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.19082,R
0,587,8,1,0,0,0,2,0,0,0,1.19108,R
0,370,8,2,0,0,0,1,0,0,0,1.19133,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.19159,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.19176,R
0,316,8,2,0,0,0,1,0,0,0,1.19978,R
0,329,8,2,0,0,0,1,0,0,0,1.20004,R
0,382,8,2,0,0,0,1,0,0,0,1.20029,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.20046,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.20072,R
0,587,8,1,0,0,0,2,0,0,0,1.20098,R
0,316,8,2,0,0,0,1,0,0,0,1.20891,R
0,329,8,2,0,0,0,1,0,0,0,1.20917,R
0,000000A2,8,18,0,0,0,0,0,0,0,1.20942,R
0,000000B2,8,0,0,0,0,0,0,0,0,1.20968,R
0,000000C4,8,20,4E,0,0,0,0,0,0,1.20994,R
0,382,8,2,0,0,0,1,0,0,0,1.21019,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.21045,R
0,000004C1,8,87,D3,F4,1,0,0,0,0,1.2107,R
0,000004D1,8,23,D3,F4,1,0,0,0,0,1.21088,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.21113,R
0,587,8,1,0,0,0,2,0,0,0,1.21139,R
0,370,8,2,0,0,0,1,0,0,0,1.21164,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.2119,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.21216,R
0,316,8,2,0,0,0,1,0,0,0,1.22009,R
0,329,8,2,0,0,0,1,0,0,0,1.22035,R
0,382,8,2,0,0,0,1,0,0,0,1.2206,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.22086,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.22112,R
0,587,8,1,0,0,0,2,0,0,0,1.22129,R
0,316,8,2,0,0,0,1,0,0,0,1.22922,R
0,184,8,69,D4,F4,1,0,0,0,0,1.22948,R
0,000001C7,8,3D,D3,F4,1,0,0,0,0,1.22973,R
0,000001CD,8,A1,D3,F4,1,0,0,0,0,1.22999,R
0,1E9,8,5,D4,F4,1,0,0,0,0,1.23025,R
0,329,8,2,0,0,0,1,0,0,0,1.2305,R
0,334,8,CD,D4,F4,1,0,0,0,0,1.23067,R
0,382,8,2,0,0,0,1,0,0,0,1.23093,R
0,000004B1,8,2,0,0,0,1,0,0,0,1.23118,R
0,000004F2,8,2,0,0,0,1,0,0,0,1.23144,R
0,587,8,1,0,0,0,2,0,0,0,1.2317,R
0,370,8,2,0,0,0,1,0,0,0,1.23195,R
0,0000043F,8,2,0,0,0,1,0,0,0,1.23221,R
0,000004F1,8,2,0,0,0,1,0,0,0,1.23246,R
0,316,8,2,0,0,0,1,0,0,0,1.2404,R
